response,labels
"RIDGE GOURD VARIETIES: Sureka, Sanjivani, Mahima, NS-3, 401, 403",5
BEANS SOWING TIME: June - July,1
RECOMMENDED TO SPRAY ACEPHATE (ARTHIN) 300 GRAMS/200 LITRES OF WATER/ACRE,8
OR,8
RECOMMENDED TO SPRAY THIAMETHOXAM (ACTARA/CRUISER) 40 GRAMS/200 LITRES OF WATER/ACRE,8
"Some Basmati seed varieties include Basmati 217, Basmati 370, Type 3 (Dehraduni Basmati), Punjab Basmati 1 (Bauni Basmati), Pusa Basmati 1, Kasturi, Haryana Basmati 1, Mahi Sugandha, Taraori Basmati (HBC 19 / Karnal Local), Ranbir Basmati, Basmati 386, Improved Pusa Basmati 1 (Pusa 1460), Pusa Basmati 1121 (After amendment), Vallabh Basmati 22, Pusa Basmati 6 (Pusa 1401), Punjab Basmati 2, Basmati CSR 30 (After amendment), Malviya Basmati Dhan 10-9 (IET 21669), Vallabh Basmati 21 (IET 19493), Pusa Basmati 1509 (IET 21960), Basmati 564, Vallabh Basmati 23, Vallabh Basmati 24, Pusa Basmati 1609, Pant Basmati 1 (IET 21665), Pant Basmati 2 (IET 21953), Punjab Basmati 3, Pusa Basmati 1637, Pusa Basmati 1728, Pusa Basmati 1718, Punjab Basmati 4, Punjab Basmati 5, Haryana Basmati 2, and Pusa Basmati 1692.",0
RECOMMENDED TO SOW FROM JUNE 3RD WEEK,9
"RECOMMENDED VARIETIES ARE PUSA SADHABAHAR, PUSA MOUSAMI, PUSA NAVA BAHAR",3
RECOMMENDED CHILI SOWING TIME: July - August,2
"VARIETIES INCLUDE Sindhur (CA 960), Kiran (LCA-200), Bhaskar (LCA-233), Prakash (LCA-206), Warangal Local (Tomato Chilli)",10
Acephate should be sprayed at the rate of 300 grams / 200 liters of water,6
No weedicide recommendation,11
"For rice cultivation, apply a balanced NPK fertilizer in the ratio of 4:2:1 during the transplanting stage and top-dress with urea in the later growth stages as recommended for your specific region.",4
"Organic farming promotes the use of natural methods and avoids synthetic chemicals. It improves soil health, reduces environmental impact, and produces healthier crops. In Telangana, there is a growing interest in organic farming practices.",7
